waibu_063N	F
waibu_124N	IE/F
waibu_069T	IE/F
waibu_076N	F
waibu_083N	IE/F
waibu_093N	IE/F
waibu_094N	F
waibu_022N	IE/F
waibu_033N	IE/F
waibu_041N	IE/F
waibu_213N	F
waibu_214T	IE/F
waibu_217N	IE/F
waibu_166N	IE/F
waibu_175N	IE/F
waibu_176N	IE/F
waibu_178N	IE/F
waibu_197N	IE/F
waibu_200N	IE/F
waibu_061N	F
waibu_124T	IE
waibu_126T	IE
waibu_139T	IE
waibu_067T	IE/F
waibu_024N	IE/F
waibu_032T	IE
waibu_212T	IE
waibu_158T	IE
waibu_177T	IE
waibu_126N	IE/F
waibu_069N	IE/F
waibu_087N	IE/F
waibu_097N	IE/F
waibu_209N	IE/F
waibu_161N	IE/F
waibu_192N	IE/F
waibu_202N	IE/F
waibu_010N	IE/F
waibu_130T	IE
waibu_132T	IE
waibu_138T	IE
waibu_141T	IE
waibu_082T	IE
waibu_084T	IE
waibu_087T	IE
waibu_098T	IE
waibu_020T	IE
waibu_207T	IE
waibu_209T	IE
waibu_210T	IE
waibu_147T	IE
waibu_157T	IE
waibu_161T	IE
waibu_167T	IE
waibu_186T	IE
waibu_202T	IE
waibu_074T	IE
waibu_076T	IE
waibu_184T	IE
waibu_061T	IE
waibu_063T	D
waibu_139N	IE/F
waibu_068N	IE/F
waibu_045N	IE/F
waibu_185N	IE/F
waibu_152N	F
waibu_055T	IE/F
waibu_128N	F
waibu_137N	F
waibu_071N	F
waibu_090N	F
waibu_092N	F
waibu_098N	F
waibu_101N	F
waibu_169N	F
waibu_182N	F
waibu_194N	F
waibu_195N	F
waibu_200T	F
waibu_201N	F
waibu_053N	F
waibu_137T	D
waibu_075T	D
waibu_015T	D
waibu_040T	D
waibu_046T	D
waibu_219T	D
waibu_150T	D
waibu_159T	D
waibu_163T	D
waibu_170T	D
waibu_176T	D
waibu_182T	D
waibu_188T	D
waibu_197T	D
waibu_203T	D
waibu_204T	D
waibu_050T	IE
waibu_079T	D
waibu_127T	D
waibu_129N	IE/F
waibu_067N	IE/F
waibu_072N	IE/F
waibu_102N	IE/F
waibu_162N	IE/F
waibu_170N	F
waibu_089N	F
waibu_072T	D
waibu_093T	F
waibu_037T	D
waibu_045T	D
waibu_145T	F
waibu_150N	F
waibu_169T	D
waibu_047T	F
waibu_130N	F
waibu_099N	F
waibu_043N	F
waibu_047N	F
waibu_207N	IE/F
waibu_214N	F
waibu_012N	F
waibu_184N	F
waibu_086N	IE/F
waibu_026N	IE/F
waibu_157N	IE/F
waibu_159N	F
waibu_026T	IE
waibu_050N	IE/F
waibu_162T	IE
waibu_192T	D
waibu_140T	IE
waibu_073N	F
waibu_016N	IE/F
waibu_037N	F
waibu_039N	F
waibu_158N	F
waibu_204N	F
waibu_054N	F
waibu_201T	D
waibu_002T	D
waibu_077T	D
waibu_053T	D
waibu_183N	IE/F
waibu_022T	IE
waibu_219N	IE/F
waibu_140N	IE/F
waibu_211N	F
waibu_078T	IE
waibu_089T	IE
waibu_078N	IE/F
waibu_044N	IE/F
waibu_023T	IE/F
waibu_010T	IE
waibu_074N	IE/F
waibu_085N	F
waibu_019N	IE/F
waibu_154N	F
waibu_085T	IE/F
waibu_020N	IE/F
waibu_068T	IE
waibu_081N	F
waibu_088N	F
waibu_031N	F
waibu_215T	F
waibu_075N	F
waibu_048N	F
waibu_212N	F
waibu_057N	F
waibu_091N	F
waibu_032N	F
waibu_001N	F
waibu_006N	F
waibu_181T	D
waibu_213T	D
waibu_183T	D
waibu_105T	D
waibu_009N	IE/F
waibu_095N	IE
waibu_101T	IE
waibu_017T	IE/F
waibu_009T	IE
waibu_030T	D
waibu_174T	IE
waibu_095T	IE
waibu_044T	D
waibu_163N	IE/F
waibu_167N	IE/F
waibu_154T	IE
waibu_146T	F
